elastic_FP,elastic_heap,tam,item
1,1,0,244
1,1,1,7
1,2,2,899
1,2,3,787
1,3,4,987
3,2,5,382
3,2,6,767
6,2,7,81
4,2,8,503
7,1,9,130
5,1,10,391
1,3,11,971
5,1,12,709
2,2,13,926
18,2,23,289
18,2,23,289
16,2,24,445
25,1,25,2
20,1,26,267
20,1,27,274
16,2,28,475
5,2,29,885
24,1,30,264
16,2,24,445
25,1,25,2
20,1,26,267
20,1,27,274
16,2,28,475
5,2,29,885
24,1,30,264
6,1,14,728
8,3,15,699
9,2,16,543
18,2,23,289
16,2,24,445
25,1,25,2
20,1,26,267
20,1,27,274
16,2,28,475
5,2,29,885
24,1,30,264
1,4,17,973
14,1,18,258
10,2,19,560
10,2,20,651
10,2,21,697
14,1,22,535
18,2,23,289
16,2,24,445
25,1,25,2
20,1,26,267
20,1,27,274
16,2,28,475
5,2,29,885
24,1,30,264
29,2,31,711
5,3,32,892
28,1,33,163
28,1,34,210
28,2,35,232
15,2,36,545
1,5,37,977
24,1,38,313
22,2,39,401
36,1,40,108
39,1,41,57
25,1,42,372
35,1,43,169
1,5,44,983
22,1,45,453
9,3,46,869
9,4,47,878
12,3,48,778
24,2,49,479
11,3,50,790
13,3,51,781
43,1,52,177
34,2,53,325
51,1,54,70
3,5,55,974
35,1,56,328
35,1,57,338
44,1,58,248
51,1,59,155
22,1,60,575
27,2,61,512
49,1,62,227
12,3,63,819
22,2,64,676
35,2,65,437
64,1,66,51
25,3,67,573
17,3,68,767
20,2,69,717
45,1,70,326
11,3,71,875
18,2,72,774
70,1,73,51
42,2,74,396
66,1,75,109
13,3,76,856
29,2,77,617
1,7,78,988
30,3,79,634
72,1,80,97
69,2,81,130
45,2,82,415
31,3,83,626
43,1,84,456
41,2,85,485
33,2,86,600
74,1,87,136
71,2,88,175
15,3,89,849
31,1,90,643
24,2,91,750
27,1,92,713
13,4,93,870
8,4,94,922
27,2,95,741
35,1,96,660
5,5,97,973
36,1,98,667
23,3,99,779
98,1,100,42
1,7,101,993
101,1,102,6
21,4,103,816
64,1,104,396
63,2,105,402
9,4,106,926
81,1,107,252
105,1,108,20
79,2,109,266
14,3,110,886
60,2,111,469
68,1,112,396
43,3,113,653
103,1,114,95
92,1,115,204
58,3,116,491
112,1,117,47
76,2,118,340
116,1,119,18
89,2,120,248
3,5,121,984
31,2,122,769
10,3,123,962
98,1,124,206
119,1,125,43
116,1,126,55
97,2,127,218
79,2,128,368
38,3,129,722
1,8,130,997
73,2,131,411
120,1,132,68
132,1,133,3
100,2,134,227
68,2,135,464
75,1,136,406
62,2,137,505
40,3,138,717
31,4,139,778
119,1,140,123
12,4,141,955
104,1,142,247
64,2,143,520
12,4,144,961
49,2,145,694
130,1,146,76
78,3,147,452
40,3,148,741
82,2,149,417
75,2,150,470
96,2,151,342
88,2,152,401
61,2,153,591
105,1,154,304
13,4,155,959
58,1,156,634
48,2,157,711
127,1,158,178
101,2,159,355
87,3,160,434
71,3,161,527
40,5,162,766
77,3,163,502
72,3,164,531
107,2,165,345
114,1,166,318
117,2,167,289
27,5,168,851
104,1,169,387
157,1,170,67
114,1,171,326
54,3,172,695
58,2,173,666
141,1,174,198
60,3,175,656
111,2,176,360
126,2,177,275
156,1,178,108
91,2,179,453
56,2,180,692
15,5,181,930
32,2,182,795
97,1,183,445
25,4,184,874
98,1,185,451
107,1,186,404
28,2,187,860
158,1,188,163
15,5,189,934
151,1,190,215
15,4,191,949
97,1,192,462
6,6,193,981
37,2,194,803
1,7,195,993
66,1,196,679
98,1,197,473
75,1,198,634
89,2,199,530
32,3,200,861
62,2,201,701
164,1,202,208
87,2,203,556
57,2,204,719
121,2,205,407
166,1,206,212
118,2,207,431
69,2,208,682
72,2,209,672
27,4,210,884
57,2,211,726
17,5,212,954
207,1,213,32
181,1,214,171
39,3,215,828
39,3,216,835
21,4,217,927
211,1,218,41
146,3,219,350
35,3,220,862
167,1,221,256
85,2,222,651
157,2,223,324
95,3,224,590
121,2,225,454
80,4,226,669
168,1,227,269
21,5,228,928
165,2,229,303
200,1,230,151
49,4,231,789
152,1,232,356
152,2,233,359
74,3,234,697
216,2,235,75
209,2,236,118
26,4,237,909
113,2,238,506
48,3,239,800
20,4,240,933
64,2,241,742
114,1,242,526
30,3,243,887
215,1,244,126
79,1,245,697
229,1,246,68
13,3,247,962
8,5,248,977
221,1,249,109
94,2,250,664
47,3,251,839
164,2,252,365
180,2,253,316
215,1,254,163
182,2,255,307
63,3,256,770
212,1,257,184
24,5,258,928
248,1,259,50
130,1,260,487
238,1,261,79
214,1,262,191
48,4,263,843
57,3,264,791
33,4,265,888
195,1,266,270
30,4,267,909
231,1,268,149
67,2,269,776
254,1,270,62
245,1,271,82
42,4,272,870
118,2,273,588
14,5,274,970
1,8,275,997
112,2,276,638
173,1,277,390
19,3,278,959
119,2,279,615
141,1,280,499
11,4,281,975
61,3,282,806
224,1,283,216
204,1,284,291
17,3,285,969
138,1,286,524
169,2,287,414
142,2,288,505
161,1,289,452
155,1,290,464
4,6,291,992
44,3,292,884
113,2,293,656
243,1,294,187
107,3,295,675
136,2,296,544
163,2,297,457
27,4,298,936
289,1,299,46
132,3,300,585
1,9,301,998
265,1,302,128
168,3,303,455
133,3,304,587
176,2,305,450
173,2,306,452
135,2,307,577
61,4,308,840
86,3,309,763
143,1,310,544
215,2,311,339
91,2,312,739
212,1,313,350
40,4,314,908
205,1,315,382
115,2,316,671
189,2,317,432
71,3,318,796
269,2,319,176
252,2,320,236
245,1,321,261
275,1,322,168
288,2,323,120
241,2,324,269
103,5,325,707
284,1,326,147
278,2,327,165
279,1,328,164
301,1,329,84
263,1,330,211
90,5,331,749
191,2,332,434
224,2,333,340
147,3,334,556
329,1,335,21
292,2,336,142
333,1,337,9
27,6,338,950
9,7,339,983
300,1,340,124
169,2,341,494
119,2,342,674
269,1,343,215
63,4,344,844
147,2,345,582
142,2,346,598
166,2,347,515
224,1,348,366
217,2,349,394
338,1,350,43
141,3,351,603
348,1,352,7
279,2,353,211
326,1,354,75
254,3,355,276
257,1,356,270
151,3,357,575
76,4,358,794
203,2,359,434
354,1,360,11
359,1,361,5
162,2,362,535
201,1,363,445
111,2,364,697
205,1,365,444
69,3,366,819
65,3,367,840
197,1,368,453
90,2,369,769
305,1,370,175
34,4,371,929
146,1,372,616
63,2,373,849
322,1,374,145
197,1,375,460
85,2,376,784
101,2,377,743
257,1,378,328
185,1,379,502
190,1,380,489
244,2,381,371
202,2,382,457
188,2,383,497
31,3,384,935
174,2,385,533
340,1,386,125
311,1,387,205
204,1,388,460
42,3,389,919
5,7,390,992
201,2,391,471
42,3,392,925
56,2,393,879
45,2,394,916
154,2,395,622
278,1,396,323
112,3,397,735
81,3,398,814
350,1,399,128
67,3,400,857
7,6,401,989
379,1,402,58
208,2,403,473
77,3,404,839
328,1,405,203
294,2,406,285
16,4,407,975
292,1,408,298
24,3,409,965
210,1,410,477
96,3,411,787
282,1,412,337
35,3,413,935
159,1,414,636
164,2,415,624
84,4,416,820
114,2,417,762
83,4,418,829
307,1,419,280
144,2,420,681
353,1,421,173
383,1,422,103
30,6,423,958
260,1,424,405
416,1,425,19
39,4,426,933
126,3,427,728
387,1,428,107
120,3,429,747
344,1,430,209
25,6,431,964
127,1,432,737
176,2,433,619
101,2,434,789
44,4,435,928
364,1,436,174
406,2,437,74
57,2,438,903
232,3,439,472
427,1,440,40
132,3,441,732
184,2,442,611
133,3,443,729
434,1,444,19
338,1,445,248
296,2,446,353
85,4,447,839
441,1,448,10
209,2,449,534
238,1,450,471
431,1,451,43
423,1,452,60
199,2,453,574
453,1,454,2
243,2,455,465
36,6,456,946
38,5,457,935
206,1,458,545
432,1,459,53
157,3,460,682
125,3,461,754
452,1,462,17
117,4,463,771
142,3,464,725
393,1,465,158
152,2,466,699
60,4,467,899
359,1,468,232
33,6,469,954
303,1,470,371
189,3,471,624
163,3,472,687
324,2,473,335
314,2,474,353
443,1,475,58
206,3,476,583
153,3,477,706
63,4,478,898
38,5,479,945
368,1,480,241
148,2,481,721
8,7,482,988
345,2,483,301
188,2,484,648
326,1,485,342
429,1,486,118
207,2,487,594
355,1,488,277
182,2,489,663
190,1,490,647
347,1,491,312
123,3,492,770
483,1,493,16
446,2,494,83
251,2,495,495
409,1,496,174
116,2,497,783
311,1,498,395
133,3,499,758
450,1,500,89
440,1,501,118
317,2,502,383
434,2,503,128
280,3,504,453
144,3,505,736
408,1,506,187
318,3,507,388
107,3,508,795
295,2,509,437
348,1,510,333
493,2,511,36
431,2,512,158
180,3,513,674
173,3,514,689
103,3,515,806
505,1,516,16
434,1,517,159
137,2,518,752
369,2,519,294
98,4,520,822
318,1,521,399
32,6,522,958
221,2,523,592
132,3,524,767
503,1,525,41
473,1,526,88
375,2,527,293
428,1,528,176
96,3,529,835
498,1,530,52
215,2,531,618
37,5,532,953
308,2,533,435
146,2,534,746
140,3,535,759
257,2,536,523
47,4,537,933
457,1,538,147
373,2,539,318
345,2,540,370
276,2,541,481
172,2,542,706
76,4,543,881
459,1,544,155
336,2,545,395
186,2,546,687
450,1,547,171
247,2,548,554
315,1,549,440
107,3,550,817
160,3,551,729
441,1,552,191
481,1,553,127
198,2,554,673
389,1,555,311
459,1,556,169
143,2,557,761
231,1,558,604
181,3,559,697
40,4,560,948
210,2,561,656
392,1,562,315
67,3,563,902
324,1,564,443
525,1,565,62
210,1,566,661
25,3,567,967
376,2,568,347
478,1,569,160
223,2,570,637
173,2,571,718
223,1,572,641
381,1,573,344
243,2,574,599
491,2,575,148
519,1,576,91
224,3,577,638
205,3,578,672
1,9,579,998
343,1,580,430
98,3,581,841
170,1,582,727
20,4,583,974
26,3,584,969
359,1,585,400
425,1,586,285
299,2,587,490
287,2,588,514
450,2,589,241
275,2,590,539
319,2,591,462
447,1,592,250
95,4,593,855
182,2,594,716
199,3,595,693
441,1,596,269
381,1,597,377
588,1,598,12
28,4,599,968
280,2,600,538
230,2,601,650
205,2,602,686
287,2,603,531
4,6,604,994
239,2,605,637
586,1,606,32
353,2,607,437
445,1,608,276
572,1,609,56
356,2,610,435
570,1,611,58
77,5,612,897
515,1,613,162
593,1,614,32
476,1,615,218
69,5,616,915
221,2,617,669
190,2,618,708
368,2,619,429
70,4,620,911
469,1,621,248
475,1,622,243
524,1,623,161
341,2,624,455
36,6,625,960
496,1,626,206
572,1,627,76
208,2,628,689
281,1,629,571
600,1,630,44
276,2,631,579
488,1,632,221
175,3,633,731
339,1,634,463
284,2,635,567
185,3,636,720
320,2,637,495
635,1,638,4
422,3,639,348
75,6,640,903
133,5,641,792
386,2,642,407
547,1,643,152
453,2,644,306
134,4,645,791
412,2,646,371
500,2,647,221
348,3,648,461
381,2,649,431
648,1,650,2
186,4,651,724
631,1,652,31
272,2,653,598
86,5,654,885
333,3,655,486
293,4,656,558
375,2,657,443
292,4,658,562
499,2,659,247
647,1,660,14
37,6,661,959
535,1,662,179
281,4,663,587
633,1,664,42
251,4,665,642
323,1,666,506
161,4,667,762
338,1,668,489
99,4,669,863
592,1,670,111
419,3,671,392
246,4,672,655
96,5,673,870
83,5,674,896
471,2,675,313
243,3,676,661
500,1,677,267
314,2,678,535
353,3,679,474
209,3,680,699
85,4,681,889
546,1,682,198
618,2,683,82
348,2,684,487
398,1,685,435
302,2,686,569
424,2,687,397
530,1,688,231
353,2,689,483
2,8,690,997
525,1,691,245
397,2,692,442
565,1,693,176
561,1,694,185
354,1,695,484
129,4,696,818
662,1,697,43
284,2,698,599
250,3,699,659
77,4,700,906
207,2,701,710
428,1,702,403
73,5,703,913
60,6,704,932
501,2,705,299
545,1,706,227
294,3,707,593
312,2,708,567
628,2,709,114
423,2,710,420
281,3,711,618
708,1,712,3
281,2,713,618
670,1,714,52
117,4,715,843
670,1,716,54
281,2,717,621
548,1,718,240
515,1,719,285
390,3,720,457
551,2,721,237
97,5,722,882
83,5,723,899
172,2,724,765
432,1,725,419
191,2,726,736
53,7,727,935
389,1,728,463
494,1,729,335
302,1,730,594
206,2,731,721
453,1,732,397
2,7,733,997
281,1,734,635
243,2,735,681
272,1,736,649
581,1,737,214
539,1,738,274
327,2,739,568
245,2,740,680
233,2,741,694
344,1,742,538
716,1,743,35
260,2,744,665
315,1,745,590
103,4,746,878
685,1,747,71
590,1,748,212
395,2,749,471
220,2,750,708
258,2,751,669
697,1,752,60
53,6,753,942
74,4,754,920
136,3,755,826
495,1,756,362
747,1,757,8
670,1,758,113
619,1,759,177
237,2,760,695
223,2,761,708
90,4,762,898
684,1,763,92
712,1,764,57
99,3,765,885
667,1,766,125
229,2,767,706
434,1,768,451
474,1,769,400
301,2,770,626
664,1,771,131
438,1,772,446
644,2,773,164
643,2,774,167
414,2,775,463
187,3,776,755
737,1,777,45
364,2,778,534
537,1,779,319
115,2,780,868
324,1,781,594
524,1,782,340
65,4,783,929
364,1,784,537
317,2,785,612
700,1,786,107
587,1,787,251
309,1,788,621
612,1,789,220
470,1,790,428
548,1,791,316
67,4,792,928
541,2,793,326
187,2,794,761
535,1,795,338
354,1,796,564
100,3,797,886
495,1,798,396
783,1,799,15
298,2,800,638
776,1,801,23
685,1,802,147
461,1,803,437
368,2,804,539
561,2,805,314
600,1,806,252
573,2,807,294
228,3,808,711
696,1,809,139
33,5,810,965
347,3,811,580
209,3,812,733
572,2,813,305
394,2,814,509
315,2,815,622
79,3,816,918
325,2,817,616
116,2,818,873
99,3,819,891
142,2,820,836
582,1,821,301
369,2,822,559
727,2,823,117
19,5,824,980
568,1,825,320
453,2,826,455
377,2,827,544
370,2,828,559
664,1,829,203
370,1,830,559
377,2,831,549
357,2,832,578
243,3,833,706
15,7,834,986
735,1,835,118
812,1,836,20
348,1,837,591
192,2,838,764
217,4,839,732
220,3,840,730
220,2,841,730
292,1,842,664
454,2,843,463
537,1,844,387
698,2,845,173
765,1,846,86
299,2,847,657
170,3,848,789
42,5,849,959
390,1,850,548
21,6,851,977
343,1,852,613
760,1,853,108
768,1,854,94
356,3,855,593
180,4,856,780
95,4,857,901
739,1,858,137
272,2,859,691
473,1,860,457
266,2,861,696
658,1,862,241
831,1,863,35
205,2,864,755
375,1,865,579
735,1,866,153
754,1,867,127
717,1,868,170
635,1,869,270
684,1,870,211
96,3,871,900
872,1,872,0
121,2,873,875
246,1,874,716
554,2,875,387
828,1,876,48
166,2,877,802
832,1,878,45
705,2,879,189
777,1,880,113
57,5,881,945
730,1,882,167
237,3,883,726
535,1,884,405
354,2,885,613
299,2,886,671
713,1,887,186
131,4,888,867
165,3,889,808
122,4,890,877
609,2,891,324
137,3,892,857
474,2,893,470
582,1,894,359
361,3,895,612
845,1,896,50
133,5,897,865
226,3,898,739
695,1,899,220
775,1,900,135
53,6,901,951
790,1,902,121
461,3,903,487
160,4,904,826
155,4,905,837
126,4,906,874
695,1,907,227
11,8,908,991
661,2,909,271
545,2,910,416
502,2,911,456
404,3,912,569
63,5,913,935
739,1,914,183
27,6,915,974
100,2,916,901
725,1,917,206
451,1,918,512
209,4,919,768
902,1,920,15
232,2,921,742
830,1,922,92
133,4,923,872
721,1,924,212
180,3,925,803
162,3,926,836
684,2,927,262
901,1,928,20
407,2,929,575
164,4,930,835
786,1,931,155
125,4,932,878
651,1,933,308
6,9,934,994
871,1,935,57
471,3,936,497
720,1,937,221
356,3,938,636
481,2,939,488
477,2,940,492
573,2,941,404
63,4,942,944
568,2,943,413
628,1,944,340
492,2,945,479
243,4,946,740
395,3,947,593
309,3,948,686
705,1,949,252
275,3,950,713
892,1,951,53
629,2,952,346
805,1,953,157
686,2,954,277
430,2,955,559
45,5,956,960
847,1,957,113
786,1,958,173
646,2,959,333
922,1,960,40
949,1,961,8
489,2,962,488
697,2,963,271
331,2,964,668
498,1,965,483
651,1,966,328
803,2,967,165
290,3,968,704
41,5,969,964
349,1,970,653
444,3,971,548
623,1,972,368
59,4,973,950
674,1,974,314
902,1,975,60
207,4,976,781
914,1,977,54
970,1,978,5
179,4,979,819
347,1,980,658
275,2,981,718
139,4,982,872
974,1,983,5
134,4,984,875
836,1,985,149
439,1,986,564
789,3,987,188
726,3,988,262
890,2,989,89
478,3,990,521
355,3,991,655
560,1,992,450
639,2,993,361
87,3,994,926
871,1,995,118
792,1,996,196
736,1,997,254
374,2,998,636
108,4,999,900
